Rank,KOL,Point
263,0xElectricsheep,0.0013403339326388782
264,LizBitcoin,0.001312566590282666
265,fansland_io,0.001312566590282666
266,XO_app,0.0012847992479250588
267,NFT_LAUNCH,0.0012847992479250588
268,catdrivebitcoin,0.0012709155767455088
269,ChainGPT_Labs,0.0012709155767455088
270,solanamobile,0.0012709155767455088
271,loopfans,0.001257031905565857
272,Gradient_HQ,0.001257031905565857
273,SolanaFndn,0.001257031905565857
274,ChimpersNFT,0.0012431482343864923
275,LeonidasNFT,0.0012014972208490337
276,TheGariNetwork,0.0011598462073115498
277,BitcoinFrogs,0.0011459625361394641
278,ChadsDefi,0.0011320788649704814
279,0xChar,0.0011181951938013632
280,birdoncrypto,0.001104311522632364
281,CohortX_ai,0.0010904278514631647
282,SwanBitcoin,0.0010487768379561127
283,BenjaminBitcoin,0.0010210094956180765
284,Web3Capital,0.0010210094956180765
285,Swap_Solana,0.0010210094956180765
286,BitcoinIsSaving,9.932421532799296E-4
287,DefiSquared,9.932421532799296E-4
288,SteveCote1974,9.515911397733036E-4
289,bitcoin_dad,9.515911397733036E-4
290,bitcoinagile,9.238237974358516E-4
291,KenzoNft7,7.294524010736976E-4
292,catecoin,3.6847695069209575E-4
293,Memeland,3.268259371852966E-4
294,hippo_cto,2.435239101704094E-4
295,EthereumFear,2.1575656783272393E-4
296,EthereumDenver,2.0187289666388056E-4
297,EthereumMemes,1.7410555432619064E-4
298,ensdomains,1.7410555432619064E-4
299,EthereumNetw,1.7410555432619064E-4
300,EthereumPoW,1.7410555432619064E-4
301,CryptoDefiGems,1.7410555432619064E-4
302,WaterMemeCoin,1.7410555432619064E-4
303,CryptoTickers,1.7410555432619064E-4
304,meme_capybara,1.7410555432619064E-4
305,ZenCoinOnTon,1.7410555432619064E-4
306,MemeCatsXYZ,1.7410555432619064E-4
307,TurboToadToken,1.7410555432619064E-4
308,MarkRichterSOL,1.7410555432619064E-4
309,memecoin_degens,1.7410555432619064E-4
310,BitBonk_inu,1.7410555432619064E-4
311,ethereum,1.6022188315734537E-4
312,WinStupidPrizes,1.6022188315734537E-4
313,MemeCoinOwner,1.6022188315734537E-4
314,CosmosHOSS,1.6022188315734537E-4
315,TagadoBTC,7.501500300060013E-6
316,SovrynBTC,7.501500300060013E-6
317,ALEXLabBTC,7.501500300060013E-6
318,CryptoXMessi,7.501500300060013E-6
319,SolanaStatus,7.501500300060013E-6
320,solana,7.501500300060013E-6
321,GbElrondCrypto,7.501500300060013E-6
322,AmuletProtocol,7.501500300060013E-6
323,solnftradar,7.501500300060013E-6
324,TeaMemeCoin,7.501500300060013E-6
